second,30music_count,30music_pct,lastfm_count,lastfm_pct
0,182766,19.749796575993052,68116,17.10198271122013
1,265,0.02863604878718229,9,0.002259643026616084
2,130,0.014047872989938481,5,0.0012553572370089356
3,108,0.011670540637795046,1,0.0002510714474017871
4,54,0.005835270318897523,3,0.0007532143422053614
5,39,0.004214361896981544,6,0.0015064286844107227
6,55,0.005943330880358588,4,0.0010042857896071485
7,35,0.003782119651137284,2,0.0005021428948035742
8,25,0.002701514036526631,1,0.0002510714474017871
9,41,0.004430483019903675,3,0.0007532143422053614
10,333,0.035984166966534725,5,0.0012553572370089356
11,46,0.004970785827209001,0,0.0
12,60,0.0064836336876639145,2,0.0005021428948035742
13,44,0.004754664704286871,0,0.0
14,37,0.003998240774059414,2,0.0005021428948035742
15,37,0.003998240774059414,3,0.0007532143422053614
16,27,0.0029176351594487615,6,0.0015064286844107227
17,32,0.0034579379667540877,4,0.0010042857896071485
18,38,0.004106301335520479,3,0.0007532143422053614
19,32,0.0034579379667540877,3,0.0007532143422053614
20,112,0.012102782883639307,2,0.0005021428948035742
21,45,0.004862725265747936,2,0.0005021428948035742
22,35,0.003782119651137284,2,0.0005021428948035742
23,26,0.0028095745979876963,2,0.0005021428948035742
24,39,0.004214361896981544,3,0.0007532143422053614
25,26,0.0028095745979876963,4,0.0010042857896071485
26,19,0.0020531506677602396,3,0.0007532143422053614
27,28,0.0030256957209098267,3,0.0007532143422053614
28,20,0.002161211229221305,2,0.0005021428948035742
29,28,0.0030256957209098267,6,0.0015064286844107227
30,68,0.007348118179352436,3,0.0007532143422053614
31,55,0.005943330880358588,5,0.0012553572370089356
32,48,0.0051869069501311316,7,0.00175750013181251
33,39,0.004214361896981544,1,0.0002510714474017871
34,39,0.004214361896981544,8,0.002008571579214297
35,51,0.005511088634514327,8,0.002008571579214297
36,56,0.0060513914418196535,7,0.00175750013181251
37,45,0.004862725265747936,5,0.0012553572370089356
38,46,0.004970785827209001,10,0.0025107144740178712
39,40,0.00432242245844261,13,0.003263928816223233
40,59,0.006375573126202848,9,0.002259643026616084
41,39,0.004214361896981544,10,0.0025107144740178712
42,59,0.006375573126202848,7,0.00175750013181251
43,37,0.003998240774059414,8,0.002008571579214297
44,37,0.003998240774059414,8,0.002008571579214297
45,52,0.0056191491959753925,12,0.0030128573688214455
46,37,0.003998240774059414,6,0.0015064286844107227
47,39,0.004214361896981544,13,0.003263928816223233
48,47,0.005078846388670066,8,0.002008571579214297
49,34,0.003674059089676218,15,0.0037660717110268066
50,34,0.003674059089676218,13,0.003263928816223233
51,50,0.005403028073053262,8,0.002008571579214297
52,49,0.005294967511592197,12,0.0030128573688214455
53,35,0.003782119651137284,5,0.0012553572370089356
54,60,0.0064836336876639145,8,0.002008571579214297
55,38,0.004106301335520479,14,0.00351500026362502
56,35,0.003782119651137284,12,0.0030128573688214455
57,52,0.0056191491959753925,4,0.0010042857896071485
58,36,0.0038901802125983487,9,0.002259643026616084
59,52,0.0056191491959753925,10,0.0025107144740178712
60,49,0.005294967511592197,10,0.0025107144740178712
